,Date,BTC,IBEX
663,2016-07-11,648.484009,8265.799805
664,2016-07-12,648.28302,8313.799805
665,2016-07-13,664.796997,8471.900391
666,2016-07-14,652.922974,8563.700195
667,2016-07-15,659.171021,8527.299805
668,2016-07-16,663.781006,8527.299805
669,2016-07-17,661.992981,8527.299805
670,2016-07-18,679.809021,8552.900391
671,2016-07-19,672.737976,8490.700195
672,2016-07-20,672.80603,8556.0
673,2016-07-21,665.228027,8589.299805
674,2016-07-22,664.921997,8566.299805
675,2016-07-23,650.726013,8566.299805
676,2016-07-24,655.409973,8566.299805
677,2016-07-25,661.263,8605.700195
678,2016-07-26,654.226013,8574.5
679,2016-07-27,651.627014,8593.599609
680,2016-07-28,654.492004,8630.0
681,2016-07-29,655.111023,8525.099609
682,2016-07-30,657.012024,8525.099609
683,2016-07-31,655.099976,8525.099609
684,2016-08-01,624.60199,8667.5
685,2016-08-02,606.396973,8495.599609
686,2016-08-03,548.656006,8319.099609
687,2016-08-04,566.328979,8324.099609
688,2016-08-05,578.281006,8422.400391
689,2016-08-06,575.030029,8422.400391
690,2016-08-07,587.770996,8422.400391
691,2016-08-08,592.736023,8573.5
692,2016-08-09,591.038025,8541.099609
693,2016-08-10,587.64801,8610.5
694,2016-08-11,592.124023,8699.0
695,2016-08-12,588.797974,8704.5
696,2016-08-13,587.356995,8704.5
697,2016-08-14,585.588989,8704.5
698,2016-08-15,570.494019,8711.0
699,2016-08-16,567.242981,8689.0
700,2016-08-17,577.760986,8646.200195
701,2016-08-18,573.70697,8549.200195
702,2016-08-19,574.338989,8556.200195
703,2016-08-20,576.083984,8556.200195
704,2016-08-21,581.939026,8556.200195
